osm_id;nombre;operador;voltaje;latitud;longitud
405901610;SET Villarreal (Vila Real);Iberdrola;"66000;20000";39,9435897;-0,1151185
407698342;Liria;Iberdrola;66000;39,6351162;-0,5881662
412425096;;;;38,6488734;0,0620725
416509281;Subestación Olleria;Iberdrola;"132000;20000";38,9025855;-0,5253509
416581223;Moixent;Iberdrola;132000;38,8888853;-0,7527922
418912905;;;"66000;3000";38,9637836;-0,5695403
421990994;La Pia;;66000;39,604973;-0,6785241
423293702;;;;38,6511188;0,067005
423924866;Subestaciò Electrica;;;38,9282217;-0,1090689
425258187;;;;38,6556559;0,0762386
426637432;;;;38,6397108;0,0306562
427336337;;;;38,6436309;0,0320254
427453396;SET Paterna;Iberdrola;"132000;66000;20000";39,516643;-0,4772193
427453434;;;;39,5186326;-0,5060769
427453437;SET Llano de Quart;;"66000;20000";39,472132;-0,5200689
429563882;;;;38,6580523;0,0558273
430286573;;;;38,655232;0,0580214
435935458;;;;40,3588707;0,2936914
438254987;;;;38,0685233;-0,8510733
445244866;;;;38,193117;-0,5833527
445444444;;;;40,1282753;-0,6834988
445989313;Subestación de Novelda;;220000;38,374537;-0,7568758
447333266;Subestación Villena;Iberdrola;"132000;66000;20000";38,6349121;-0,8868615
451559030;;;;40,201149;-1,3542188
451628784;SET La Nucia;;"132000;20000";38,6087552;-0,0832152
458279851;;;;38,6136901;-0,1079838
475664071;Cementos II;Iberdrola;66000;39,4401239;-0,774002
476308876;Utiel;Iberdrola;"132000;66000;20000";39,5606304;-1,2185488
478449588;SET Masalfasar (Massalfassar);;"66000;20000";39,5483017;-0,3078384
481577728;;;;40,0676449;0,1201005
481627718;Campalbo;;132000;39,8896781;-1,2498334
486930561;;;;40,2518025;-0,7508965
487169897;;;;40,0169092;-0,2778282
489836466;;;;39,1260735;-0,6409999
496199120;SET Borriana / Burriana;;"66000;20000";39,8899914;-0,0979557
497886912;;;;40,6011824;0,4332508
499665192;SET Montsià;Endesa;"110000;25000";40,6218584;0,3703896
502982128;SET Viveros;;"220000;66000;20000";39,483041;-0,3687563
504146388;Villar de Chinchilla;;;38,9057112;-1,4912859
504178826;Campanario;;400000;38,8829719;-1,2782327
504199959;;;;38,8332575;-0,9852766
505825746;;;;38,6553965;0,0660334
510510951;;;;38,6339868;0,0305568
516613938;;;;38,2863376;-0,5213191
517628909;;;;38,2847302;-0,5216883
529061183;Subestación PE La Loma;;"220000;30000";40,7641416;-0,7607185
530959018;Subestación San Félix;Iberdrola Distribución Eléctrica;"132000;20000";38,0178481;-1,1047196
531841671;;;;37,9899975;-1,5088056
534907215;;;;39,7973736;-0,9060673
535817803;Subestación Mula;Iberdrola Distribución Eléctrica;"66000;20000";38,0273418;-1,4975246
537786179;;;;38,6908558;-0,9165207
546234256;Subestación Blanca;Iberdrola Distribución Eléctrica;"132000;66000;20000;11000";38,189908;-1,3359818
547481869;SET Alcoy;Iberdrola;"132000;66000;20000";38,7066334;-0,4814858
548586310;;Endesa;;40,3623347;-0,7013734
552181500;;;;38,0957849;-0,6611484
552181504;;;;38,0968833;-0,6572556
553301600;;;;37,9735881;-1,0726429
553493776;;Adif;"66000;3000";38,8453586;-0,8394983
562260306;;;;38,503107;-0,2344549
581521534;Subestación Murcia;Iberdrola Distribución Eléctrica;"220000;20000";37,9648116;-1,1351055
583151114;;;;39,1477084;-0,4273794
584796202;;;;39,632764;-0,596934
586686529;;;;37,8280607;-0,8072884
586848948;;;;40,2521247;-0,7518106
609401545;SET Almussafes;Iberdrola;"66000;20000";39,2910198;-0,4178865
619522697;SET Castalla;Iberdrola;"132000;20000";38,603781;-0,674633
624239760;Subestación Condomina;Iberdrola Distribución Eléctrica;"132000;20000";38,0576316;-1,1472934
634368160;SET Camp-redo;;110000;40,7687693;0,5362955
634428543;;;;40,7625999;0,547529
634428606;;;;40,7704568;0,5406343
640960086;;;;40,6191272;-1,2981117
641310817;;;;39,4432324;-0,6719168
659465787;Cimentos I;;66000;39,4295316;-0,7926625
664957972;;;;40,3772623;-1,1713703
665825629;SET Sierra de Las Cabras;Naturgy;132000;38,4846546;-1,4096045
675714143;Subestación Peñarrubia;Iberdrola;400000;38,5217948;-1,3333403
679403524;;;;39,4938411;-0,3772929
682361985;;;;38,0885826;-0,9219616
684774618;;;;38,0866748;-0,9278914
687926112;;;;37,9814771;-0,7957533
700566221;;;;38,224147;-0,7804806
709179897;Subestación Luzentia;Iberdrola Distribución Eléctrica;"132000;20000";38,3687895;-1,2695707
713143707;SET Santa Pola;;"66000;20000";38,2183282;-0,5554812
715198218;;;;38,845432;-0,1103998
729485840;Subestación Torremendo;Iberdrola Distribución Eléctrica;"400000;220000";37,9634464;-0,8968645
732442284;Transformador;;;40,2454829;-0,2869631
753621482;;;;39,6488011;-0,8841972
754916020;;;;40,4812748;-0,32024
754986877;Subestació elèctrica de Patraix;Iberdrola;;39,4554991;-0,3916972
759394170;;;;40,0194951;-0,2796053
761787323;;;;38,0533258;-0,6865967
762339651;;;;39,6520714;-0,2246712
766872601;;;;38,9303803;-0,2608099
772002801;;Red Eléctrica de España;400000;37,9611088;-1,3786635
772005629;;;132000;37,9557515;-1,4105295
772424686;;;;38,9320131;-0,2540566
