osm_id;tipo_apoyo;nombre;operador;voltaje;latitud;longitud
1411916167;tower;;;;40,2913273;0,0815209
1411916168;tower;;;;40,2992755;0,0867625
1411916169;tower;;;;40,3137637;0,0963891
1411916170;tower;;;;40,3296269;0,1068981
1411916171;tower;;;;40,3355594;0,1108362
1411916172;tower;;;;40,3439312;0,1163976
1411916174;tower;;;;40,351821;0,1216184
1411916175;tower;;;;40,3749263;0,1361345
1411916176;tower;;;;40,3984152;0,1517823
1411916177;tower;;;;40,4203018;0,1667934
1411916178;tower;;;;40,5592343;0,3089924
1411916179;tower;;;;40,5651665;0,3161417
1412218291;tower;;;;39,9579419;-0,0661732
1412218292;tower;;;;39,9597958;-0,0690219
1412218293;tower;;;;39,9615619;-0,0716969
1412218294;tower;;;;39,963263;-0,0735413
1412218298;tower;;;;39,9650952;-0,0742327
1412218299;tower;;;;39,9657928;-0,0756191
1412218301;tower;;;;39,9659085;-0,0944676
1412218302;tower;;;;39,966052;-0,0945116
1412218304;tower;;;;39,966071;-0,0947082
1412218305;tower;;;;39,9661692;-0,0949056
1412218309;tower;;;;39,966175;-0,09515
1412218310;tower;;;;39,9674695;-0,0782527
1412218312;tower;;;;39,9688446;-0,0810791
1412218313;tower;;;;39,9689254;-0,0925343
1412218314;tower;;;;39,9689319;-0,0926968
1412218315;tower;;;;39,9689779;-0,0923096
1412218317;tower;;;;39,969544;-0,0846283
1412218319;tower;;;;39,9696476;-0,0897458
1412218320;tower;;;;39,9696954;-0,0867752
1412218322;tower;;;;39,9703498;-0,0911922
1412218323;tower;;;;39,970477;-0,0875125
1412218327;tower;;;;39,9705875;-0,0919671
1412218329;tower;;;;39,9715892;-0,0901985
1412218330;tower;;;;39,9724065;-0,0919172
1412218332;tower;;;;39,9728986;-0,0930296
1412218333;tower;;;;39,9737712;-0,0921792
1412218335;tower;;;;39,9741194;-0,0954765
1412218336;tower;;;;39,9753818;-0,0979674
1412218337;tower;;;;39,9764649;-0,0927719
1412218339;tower;;;;39,97664;-0,1005058
1412218340;tower;;;;39,9779143;-0,1030678
1412218341;tower;;;;39,9791829;-0,1056055
1412218343;tower;;;;39,9795569;-0,0934084
1412218347;tower;;;;39,9804439;-0,1081308
1412218348;tower;;;;39,9819141;-0,1110703
1412218350;tower;;;;39,9827865;-0,0940716
1412218351;tower;;;;39,9832969;-0,1135606
1412218353;tower;;;;39,9847107;-0,1161802
1412218354;tower;;;;39,9854243;-0,0946146
1412218357;tower;;;;39,9860109;-0,118495
1412218358;tower;;;;39,9873539;-0,1209585
1412218359;tower;;;;39,9882204;-0,0952021
1412218360;tower;;;;39,988669;-0,1233619
1412218361;tower;;;;39,9898768;-0,1255719
1412218362;tower;;;;39,9906092;-0,0985757
1412218366;tower;;;;39,9910214;-0,1276279
1412218368;tower;;;;39,9913168;-0,0958404
1412218369;tower;;;;39,9922514;-0,1301924
1412218371;tower;;;;39,9936325;-0,1330773
1412218372;tower;;;;39,9950831;-0,1360711
1412218374;tower;;;;39,9953316;-0,0969215
1412218378;tower;;;;39,9955471;-0,0967026
1412218379;tower;;;;39,9964542;-0,1389526
1412218380;tower;;;;39,99787;-0,1419082
1412218381;tower;;;;39,9980502;-0,0971163
1412218383;tower;;;;39,998625;-0,0951466
1412218384;tower;;;;39,9989987;-0,0988521
1412218388;tower;;;;39,9992301;-0,1447286
1412218389;tower;;;;40,0006435;-0,1476811
1412218391;tower;;;;40,0017172;-0,097981
1412218392;tower;;;;40,0020189;-0,1505861
1412218394;tower;;;;40,0030114;-0,1530698
1412218395;tower;;;;40,0039675;-0,155484
1412218399;tower;;;;40,0049871;-0,158036
1412218401;tower;;;;40,0054681;-0,0987636
1412218402;tower;;;;40,0063831;-0,161565
1412218403;tower;;;;40,0078159;-0,1650883
1412218405;tower;;;;40,0085218;-0,0993868
1412218407;tower;;;;40,0085946;-0,1674281
1412218409;tower;;;;40,0096937;-0,1706968
1412218410;tower;;;;40,0107711;-0,0998372
1412218412;tower;;;;40,0125045;-0,1002113
1412218426;pole;;;;40,0136459;-0,1874426
1412218431;tower;;;;40,013462;-0,1889075
1412218432;tower;;;;40,0139461;-0,1884864
1412218434;pole;;;;40,0139904;-0,1862233
1412218435;pole;;;;40,0142757;-0,1830417
1412218437;pole;;;;40,0143427;-0,1850043
1412218441;pole;;;;40,0145845;-0,1841299
1412218442;tower;;;;40,0152062;-0,1867889
1412218444;tower;;;;40,0159666;-0,1009233
1412218445;pole;;;;40,0160371;-0,1828812
1412218449;tower;;;;40,0179583;-0,1808959
1412218451;tower;;;;40,0185816;-0,1014691
1412218452;tower;;;;40,0189754;-0,1769103
1412218453;tower;;;;40,0200954;-0,1746448
1412218455;tower;;;;40,0213938;-0,17196
1412218467;tower;;;;40,0220104;-0,1668056
1412218469;tower;;;;40,0223723;-0,1637444
1412218470;tower;;;;40,0226171;-0,102308
1412218472;tower;;;;40,0240659;-0,1576022
1412218473;tower;;;;40,0256743;-0,1516664
1412218475;tower;;;;40,0256607;-0,1029384
1412218479;tower;;;;40,0265529;-0,1485004
1412218480;tower;;;;40,0275368;-0,1038871
1412218482;tower;;;;40,0281382;-0,1423698
1412218483;tower;;;;40,0295723;-0,1368641
1412218485;tower;;;;40,0356454;-0,1248625
1412218487;tower;;;;40,0379944;-0,1207104
1412218489;tower;;;;40,0391482;-0,1098295
1412218490;tower;;;;40,0397312;-0,1176485
1412218491;tower;;;;40,0425773;-0,1115668
1412218493;tower;;;;40,0455726;-0,1131142
1412218497;tower;;;;40,0471935;-0,1139423
1412218499;tower;;;;40,0487784;-0,1147469
1412218500;tower;;;;40,0520413;-0,1158374
1412218502;tower;;;;40,0567778;-0,1236348
1412218505;tower;;;;40,0577805;-0,1271132
1412218507;tower;;;;40,0579171;-0,1178194
1412218508;tower;;;;40,0579179;-0,1180011
1412218520;tower;;;;40,0645411;-0,1157962
1412218521;tower;;;;40,0675709;-0,1148814
1412218523;tower;;;;40,0737208;-0,1130215
1412218524;tower;;;;40,0765308;-0,1109178
1412218525;tower;;;;40,0799474;-0,1083324
1412218527;tower;;;;40,0814897;-0,1072221
1412218529;tower;;;;40,0842101;-0,1051716
1412218530;tower;;;;40,0880744;-0,1022998
1412218531;tower;;;;40,0899538;-0,1009198
1412218533;tower;;;;40,0961546;-0,0962601
1412218534;tower;;;;40,0981763;-0,0945975
1412218535;tower;;;;40,1005572;-0,0926309
1412218539;tower;;;;40,1031849;-0,090468
1412218541;tower;;;;40,1062342;-0,0879443
1412218543;tower;;;;40,1086811;-0,0859411
1412218544;tower;;;;40,1099938;-0,0843049
1412218546;tower;;;;40,1122169;-0,0815147
1412218549;tower;;;;40,115606;-0,0772556
1412218550;tower;;;;40,1171257;-0,0753575
